"fl","year","stock","stock_aggregate","fw_age","ocean_age"
57,2020,"WHITE_RIVER","Puget Sound","0","1"
52,2020,"SOOS_CREEK","Puget Sound","0","1"
59,2020,"SNOHOMISH_RIVER","Puget Sound","0","1"
68,2020,"ABERNATHY_RIVER","Low Col.","0","2"
49,2020,"ABERNATHY_RIVER","Low Col.","0","1"
57,2020,"NOOKSACK_RIVER","Puget Sound","0","1"
58,2020,"CHILLIWACK_RIVER_fall","Fraser Fall","0","1"
62,2020,"SOOS_CREEK","Puget Sound","0","2"
61,2020,"SOOS_CREEK","Puget Sound","0","2"
64,2020,"SOOS_CREEK","Puget Sound","0","2"
59,2020,"SOOS_CREEK","Puget Sound","0","2"
62,2020,"SOOS_CREEK","Puget Sound","0","2"
64,2020,"GREEN_RIVER-Kendal","Puget Sound","0","2"
55,2020,"NOOKSACK_RIVER","Puget Sound","0","1"
48,2020,"NOOKSACK_RIVER","Puget Sound","0","1"
49,2020,"SNOHOMISH_RIVER","Puget Sound","0","1"
50,2020,"SOOS_CREEK","Puget Sound","0","1"
49,2020,"SOOS_CREEK","Puget Sound","0","1"
50,2020,"NOOKSACK_RIVER","Puget Sound","0","1"
59,2020,"SOOS_CREEK","Puget Sound","0","2"
56,2020,"NOOKSACK_RIVER","Puget Sound","1","1"
48,2020,"SNOHOMISH_RIVER","Puget Sound","0","1"
52,2020,"ABERNATHY_RIVER","Low Col.","0","1"
40,2020,"SOOS_CREEK","Puget Sound","0","1"
66,2020,"LYON'S_FERRY","Up Col.","0","2"
70,2020,"CHILLIWACK_RIVER_fall","Fraser Fall","0","2"
72,2020,"NOOKSACK_RIVER","Puget Sound","0","2"
71,2021,"SKYKOMISH_RIVER","Puget Sound","1","2"
60,2021,"SOOS_CREEK","Puget Sound","0","2"
81,2021,"ABERNATHY_RIVER","Low Col.","0","3"
52,2021,"LYON'S_FERRY","Up Col.","0","2"
64,2021,"GREEN_RIVER","Puget Sound","0","2"
52,2021,"SOOS_CREEK","Puget Sound","0","2"
55,2021,"SOOS_CREEK","Puget Sound","0","2"
58,2021,"QUALICUM_RIVER","ECVI","0","2"
57,2021,"SOOS_CREEK","Puget Sound","0","2"
68,2021,"ABERNATHY_RIVER","Low Col.","0","2"
65,2021,"GREEN_RIVER","Puget Sound","0","3"
